Turbidity,Chroma,pH,DO,electrical conductivity,UV254,COD,TOC,BOD,nitrate nitrogen,ammonia nitrogen,TN,phosphate,TP,Algal density（×10^5cells/ml),Specific growth rate,Total photosynthetic pigments,Dry cell weight,protein(%),polysaccharide(%),lipid(%),N(%),C(%),S(%),H(%),O(%),P(%),N conversion rate(%),P conversion rate(%),protein_polysaccharide_ratio,C_N_ratio,TN_TP_ratio,protein_H_interaction,protein_O_interaction,protein_Total photosynthetic pigments_interaction,H_O_interaction,H_Total photosynthetic pigments_interaction,O_Total photosynthetic pigments_interaction,protein(%)_squared,protein(%)_sqrt,H(%)_squared,H(%)_sqrt,O(%)_squared,O(%)_sqrt,Total photosynthetic pigments_squared,Total photosynthetic pigments_sqrt,Algal density（×10^5cells/ml)_log,Total photosynthetic pigments_log,protein(%)_log
11.1,58.0,9.487499999999999,16.317500000000003,488.0,0.104,28.9,6.55,9.0,0.82,0.088,1.6,0.195,0.216,27.3,0.305353949,0.37763,22.14,16.62071415,21.7234151175,0.341508551,2.61,44.635,0.636,7.8,37.5305,0.715917811,0.230525512,0.319669682,0.6588812019762668,17.10152601474099,7.407373114013361,129.64157037,623.7837124065751,6.276480284464501,292.7379,2.945514,14.172642715000002,276.24813885601026,4.076851009050981,60.839999999999996,2.792848008753788,1408.5384302500004,6.126214165371629,0.1426044169,0.61451606976547,3.342861804649192,0.3203646314576981,2.869075150333681
24.3,62.0,8.22,7.39,396.0,0.074,11.997499999999999,4.24,2.0,0.2,0.29,0.8025,0.018,0.025,9.1,0.091833195,0.16533,26.39,12.93316528,6.896085553,13.54468891,2.2375,34.6875,0.4065,9.655,40.17,0.42,0.265298955,0.812205177,1.8754354633750492,19.523698585900277,28.798848046078152,124.8697107784,519.5252492976,2.1382402157424,387.84135,1.59626115,6.6413061,167.2667641597975,3.596271024269445,93.21902499999999,3.1072495876578694,1613.6289000000002,6.33798075099633,0.0273340089,0.40660791925391715,2.312535423847214,0.15300430870918905,2.6342719895458444
17.8,45.0,8.85,12.09,179.375,0.083,11.997499999999999,4.16,1.5,1.12,0.056,1.64,0.006,0.01075,16.35,0.233617164,1.03161,32.14,17.602849415,13.04592685,2.427192887,3.23,46.015,0.636,7.8305,38.957,0.264165454,0.915768028,0.39460397,1.4335988367435282,14.246125620394544,163.98360163983602,145.06613218026627,704.6925419180425,12.85772689476165,305.0527885,8.078022104999999,40.18843077,310.2634777653235,4.194906193171436,61.31673025,2.798303057211638,1517.647849,6.241554293603477,1.0642191921,1.0156820368599613,2.8535925063928684,0.7088285821616239,2.922746806067063
28.0,75.625,8.91,12.71,433.0,0.078,23.1,5.27,9.5,0.34,0.067,0.83,0.00535,0.011,7.125,0.151840229,0.28175,8.59,14.60416652,10.84689534,3.569049226,2.2375,41.64,0.537,6.7635,36.0065,0.237880334,0.9248777822500001,0.21363108,1.3463912682694634,19.45793483274073,75.44768657394783,98.77528025801999,525.84492180238,4.11472391701,243.52996275,1.9056161249999999,10.144831375,213.2816797438889,3.8215398100765614,45.74493225,2.60067298982398,1296.4680422500003,6.000541642218643,0.0793830625,0.5308012810836086,2.094945728215801,0.2482263316816729,2.7475379632101298
8.35,54.5,9.487499999999999,11.34,179.375,0.116,27.9,7.15,14.0,3.33,0.11,3.72,0.013,0.02,12.5,0.178623692,0.51496,24.1,17.602849415,9.299525647,4.208456553,4.245,47.73,0.702125,7.563,40.5474166675,0.442024847,0.694726565,0.457324437,1.9205811688329901,11.243813605697618,169.4853763461212,144.60453602529,704.6925419180425,9.8460335675768,316.0842405,3.8946424799999995,21.521980759999998,310.2634777653235,4.194906193171436,57.198969,2.750090907588329,1644.140186429317,6.367662571024685,0.2651838016,0.7176071348586216,2.6026896854443837,0.4153890359725126,2.922746806067063
19.9,52.5,9.07,8.02,207.0,0.059,39.4,9.245,9.5,0.22,0.24,0.97,0.006,0.01075,6.465,0.14126473,0.13926,6.465,17.15088638,13.32659314,11.50799233,2.48,46.02,0.618,4.976,37.863,0.481760374,0.269515797,0.352419737,1.2869669624380111,18.556444130466076,96.99030096990302,85.34281062688,649.38401100594,2.3884324372787997,188.406288,0.69295776,5.27280138,294.1529036196695,4.141362865048172,24.760576,2.2306949589757896,1433.606769,6.153291801954463,0.0193933476,0.37317556190082973,2.0102254309911536,0.1303789288279613,2.89871939588204
5.1,41.5,8.31,7.48,508.0,0.074,19.6,4.72,12.0,0.68,0.056,1.43,0.00535,0.013,11.645,0.203863542,0.57801,24.55,16.97741161,11.01324306,13.12245895,2.81,48.005,0.612,7.26,39.7225,0.322269616,0.655195173,0.5660709,1.5415450268338102,17.083623813657006,109.99153911237597,123.2560082886,674.385232678225,9.8131136846961,288.38534999999996,4.1963526,22.960002225,288.2325049753628,4.1203654704406985,52.7076,2.694438717061496,1577.8770062499998,6.302578837269709,0.3340955601,0.760269688992005,2.537261880121928,0.45616455953921764,2.8891160592809926
27.4,75.625,8.17,7.56,427.0,0.08,27.8,5.31,14.0,0.9,0.76,2.38,0.008,0.024,13.75,0.238207472,0.73798,36.68,17.23625689,5.652056277,13.59825,2.83,38.67,0.583,9.503,40.422,0.144016372,0.454081565,0.792574894,1.9205811688329901,13.664306125686881,99.16253489437939,145.06613218026627,696.72397600758,12.7200128596822,384.13026599999995,7.01302394,29.830627559999996,297.0885515780725,4.1516571257752,90.30700900000001,3.0826936273330827,1633.9380839999997,6.357829818420748,0.5446144803999999,0.8590576232127854,2.691243082785829,0.5527235192971268,2.9034117492228013
13.07,62.0,9.25,16.317500000000003,567.0,0.1365,61.398404255,7.09,13.5,2.78,0.54,3.87,0.077,0.091,21.27778,0.262768986,0.73073,67.37,3.919407108,6.923528606,0.232392516,4.295,48.81,0.6905,8.0,33.384,0.166905207,0.6020498,0.388626887,0.5660995664123979,11.364374536816173,42.52700519774508,31.355256864,130.845486893472,2.86402835602884,267.072,5.84584,24.39469032,15.361752078240924,1.9797492538197863,64.0,2.8284271247461903,1114.491456,5.7778888878205334,0.5339663329,0.8548274679723389,3.103589769161023,0.5485432848252783,1.5931880167386596
20.7,43.5,8.13,9.15,329.0,0.08,17.9,3.28,1.0,4.27,0.08,4.56,0.026,0.038,15.28889,0.212188375,0.3374,50.16,4.878658994,6.071619504,1.33174205,4.315,49.465,0.5405,6.8205,33.013,0.156237169,0.574774075,0.805160899,0.8035184331408602,11.46349676396367,119.99684218836346,33.274893668577,161.059169368922,1.6460595445755999,225.1651665,2.3012367,11.138586199999999,23.801313579737094,2.2087686601362306,46.519220250000004,2.6116086996332357,1089.8581689999999,5.745694039887609,0.11383875999999998,0.5808614292583042,2.7904832803291533,0.2907274306377411,1.7713286736554892
12.57,47.0,8.2,8.42,481.0,0.081,21.9,3.82,5.0,3.93,1.13,5.27,0.011,0.026,7.84667,0.102111845,0.23913,49.91,4.08008658,6.304511278,0.22970229949999998,3.875,47.775,0.4485,7.6125,32.555,0.112100083,0.563068342,0.878200381,0.6471692654541611,12.329029076379593,169.4853763461212,31.059659090249998,132.82721861189998,0.9756711038754,247.8249375,1.820377125,7.78487715,16.647106500296093,2.019922419302286,57.95015625,2.759075932264279,1059.828025,5.7056989054803795,0.057183156900000004,0.48900920236739925,2.180041117025632,0.2144095204682006,1.6253283047522415
3.88,32.0,8.5,9.09,541.0,0.119,28.0,3.64,1.5,1.96,0.07,2.14,0.025,0.029,7.14889,0.120179557,0.20717,43.68,5.155116337,4.579776938,1.822245062,4.455,49.48625,0.4775,8.1735,32.0205,0.164825898,0.602928473,0.857684036,1.1256258287604335,11.122331959072511,73.79055894624324,42.1353433804695,165.06940266890848,1.0679854515362899,261.71955675,1.6933039950000002,6.633686985,26.575224448004295,2.270488127473914,66.80610225000001,2.858933367534123,1025.3124202499998,5.658665920515188,0.0429194089,0.4551593127686173,2.097881721658192,0.1882787772680813,1.8172836606763125
15.23,48.0,9.17,10.17,185.1,0.098,40.6,6.12,2.5,0.11,0.04,0.8025,0.012,0.028,5.54333,0.086702992,0.094515,6.54,2.495107632,17.71449171,0.766911726,2.365,45.855,0.44,7.807,35.948,0.219909388,0.36237378,0.221249912,0.14085120431314907,19.38899814418683,6.07121174243777,19.479305283024,89.694129155136,0.21138551858304,280.64603600000004,0.6614090400000001,3.5708791575,6.225562095264647,1.5795909698399773,60.94924900000001,2.794100928742554,1292.258704,5.995665100720687,0.008965065900000001,0.3072902036338896,1.8784462101957797,0.0902979413277338,1.251364171205864
6.52,37.0,8.57,9.93,737.0,0.136,45.6,7.38,1.0,4.6,0.78,6.6,0.573,0.683,5.2899975,0.086702992,0.12621,8.78,4.527,10.751,1.898,5.77,42.51,0.702125,4.762,32.582,0.449810522,0.16441517125,0.14341,0.4210770699398131,7.714941232660392,9.663236217809343,21.557574,147.498714,0.57135267,155.155484,0.6596841778641126,4.11217422,20.493729000000002,2.1276747871796573,22.676643999999996,2.1822007240398396,1061.586724,5.70806447055392,0.015928964099999998,0.3552604678260726,1.8363816115303957,0.1188580132164695,1.709645172851126
12.12,28.0,8.18,10.37,493.5,0.049,17.5,2.26,1.5,4.93,0.41,6.16,0.034,0.068,11.145,0.227525596,0.60823,59.3,3.493113692,5.273206646,0.22970229949999998,2.945,37.66,0.379,6.552,33.7975,0.183017323,0.454545493,0.741368275,0.6624267289473622,12.787771549143786,90.58690313377744,22.886880909984,118.05851000537,2.1246165408851603,221.44122,3.98512296,20.556653425,12.201843265237871,1.8689873439913927,42.928703999999996,2.5596874809241847,1142.27100625,5.813561730987296,0.36994373290000004,0.779891018027519,2.496917562454136,0.4751341953541399,1.5025459340189329
28.0,75.0,8.09,10.48,522.0,0.069,24.7,4.01,5.5,3.5,1.48,5.66,0.022,0.258,7.46,0.17017766,0.47093,58.78,2.908316365,4.4485827035,0.816154811,3.065,36.975,0.3875,4.397125,32.3025,0.1268314,0.474064194,0.88133226,0.7201868478418133,12.06361759751465,21.93789946550595,9.604714795412502,93.94588938041251,1.36961342576945,143.0363645625,1.5552463250000002,15.212216325000002,8.458304078926814,1.705378657366158,19.7341095625,2.0909700891645358,1043.4515062500002,5.683528833392156,0.2217750649,0.6862433970538442,2.135349173618132,0.3858948538112879,1.3631066840769837
4.62,22.0,8.51,11.2,798.0,0.062,14.8,2.91,1.0,3.61,0.09,4.3,0.019,0.054,6.31667,0.138246205,0.45811,57.05,2.475298477,5.17224708,0.88145216,2.795,35.445,0.4515,4.397125,32.244,0.087195914,0.46041755,0.86871756,0.47857303801251544,12.681569702479534,79.62815503416603,7.954371655839499,79.813524092388,1.13395898529847,143.0363645625,1.472136485,14.77129884,6.1271025502385195,1.5733081316131305,19.7341095625,2.0909700891645358,1039.675536,5.67838005068347,0.2098647721,0.6768382376905134,1.9901553064338324,0.37714107655676055,1.2456803679900625
14.75,41.0,9.24,12.16,182.5,0.058,52.6,8.79,1.5,0.103689894,0.007663725,1.21,0.013,0.073,6.12167,0.115187756,0.09778,13.3,2.429836669,14.6840834,1.533676534,2.435,46.82,0.409,7.8855,38.3105,0.144542091,0.194736895,0.259841565,0.1654741693666648,19.227918181553108,16.575115409377954,19.160477053399504,93.0882577077245,0.23758942949482004,302.09744775,0.7710441900000001,3.74600069,5.904106238017016,1.5587933374889695,62.18111025,2.8081132455796722,1467.69441025,6.189547640983143,0.009560928400000002,0.312697937313312,1.9631422484829995,0.09328995871300617,1.2325126416767112
3.34,39.5,9.03,16.05,753.0,0.122,32.1,4.1,0.5,7.08,0.1,8.89,0.589,0.837,76.5527775,0.458283066,2.3261475,65.62,5.349,12.321,13.59825,5.77,45.35666667,0.411333333,11.12683333,34.27866667,0.4333561,0.557928155,0.249728821,0.4341368043067281,7.714941232660392,10.621253738048104,68.702556,183.35658801783,12.85772689476165,387.91236897121496,24.406464007218673,77.8374335895675,28.611801000000003,2.3127905222911997,123.81041670359889,3.3356774158852964,1175.0269886729689,5.854798602001609,5.418955290674999,1.5248956368069135,4.350883208080301,1.2014606627108853,1.8482973201883128
2.76,31.0,8.52,14.93,735.5,0.111,33.1,5.52,1.5,8.460678484,0.17,9.53722295525,0.589,1.711,76.5527775,0.451843896,2.3261475,86.91,4.685,8.779,9.347,4.523333333,38.94,0.184333333,11.12683333,34.542,0.456035898,0.9248777822500001,0.249716319,0.5336598093564404,8.608693749633561,8.270012700167914,52.64222165105,161.82927,11.778089999999999,387.91236897121496,24.406464007218673,77.8374335895675,21.949224999999995,2.164486082191336,123.81041670359889,3.3356774158852964,1193.149764,5.877244252198474,5.418955290674999,1.5248956368069135,4.350883208080301,1.2014606627108853,1.7378311272024993
7.68,24.5,8.42,12.64,568.5,0.031,19.2,2.15175,0.5,6.11,0.48,7.34,0.022,0.081,9.85556,0.133646916,0.601,47.85,3.719,18.571,5.321,4.003333333,47.61333333,0.017,10.46066667,33.55533333,0.113169498,0.714729327,0.550322663,0.20025845671969966,11.893419177488418,90.61616523252799,38.90321934573,124.79228465427,2.2351189999999996,351.0111569658712,6.28686066867,20.166755331330002,13.830960999999999,1.9284708968506628,109.4255471808489,3.2342953900347444,1125.9603948874092,5.792696550830192,0.361201,0.7752418977325722,2.3846773911290153,0.4706284340145776,1.5515969127442504
6.26,25.5,8.15,12.39,550.5,0.033,12.7,2.56,0.5,4.72,1.5,7.43,0.022,0.068,9.37444,0.161922187,0.862,51.49,4.923,16.976,10.111,4.25,49.02666667,0.0,10.77433333,33.57533333,0.0864467545,0.61504735,0.444006108,0.28999762664952716,11.535683561015631,109.26309907207245,53.042042983589994,165.29136598359,4.243626,361.75183296327884,9.28747533046,28.94193733046,24.235929,2.2187834504520714,116.08625870594888,3.2824279626520365,1127.303008220609,5.794422605402543,0.7430439999999999,0.9284395510748128,2.3393450887563962,0.6216511788548753,1.778843077294828
2.76,17.5,8.7,13.91,807.0,0.031,27.9,2.15175,0.5,4.89,0.09,5.83,0.03,0.069,9.48,0.138385997,0.681,48.19,3.583,16.024,8.725,4.16,49.09,0.0,10.99866667,33.06333333,0.089034589,0.729421541,0.565546731,0.22360208290051903,11.80047793257742,84.49152910827378,39.40822267861,118.46592332139001,2.4400230000000005,363.65258229577114,7.490092002270001,22.51612999773,12.837889,1.8928814014618032,120.9706685177689,3.31642377720339,1093.1840108906888,5.750072463021661,0.4637610000000001,0.8252272414311104,2.349468678892896,0.5193888544264785,1.522353805526987
9.56,39.0,9.17,12.92,194.2,0.054,61.398404255,9.245,6.5,0.28,0.12,1.29,0.012,0.045,9.57556,0.131905277,0.18,17.84,0.62625,21.7234151175,12.859,3.6966666664999996,45.905833335,0.397,8.316666667,40.5474166675,0.131931036,0.6,0.198085322,0.05902970731305575,11.965056556265075,28.666029643785695,5.8095407496675,16.0532739979125,0.16920413893728,340.3484944858079,1.49700000006,7.3662600006000005,0.40940325,0.7863069189431399,69.16694444998889,2.8838631498391183,1644.140186429317,6.367662571024685,0.0324,0.4242640687119285,2.3585456786130132,0.16551443847757338,0.4827924465342228
8.33,51.0,9.45,7.78,540.5,0.099,39.7,8.27,7.5,1.54,1.5,4.38,0.022,1.132,49.76667,0.458505096,0.81181,40.85,1.667,16.258,1.215,3.23,45.95666667,0.017,9.534333333,35.17566667,0.437584686,0.256134856,0.1388289545,0.10253413073353852,14.228065771496663,3.869254532460661,15.893733666110998,58.63783633889,1.35328727,335.3765312422781,7.7400671430627295,28.555957959372698,2.778889,1.2911235417263525,90.90351210475488,3.0877715804443824,1237.3275256789489,5.930907744182167,0.6590354761,0.9010049944367678,3.927240036892886,0.5943263456108179,0.9809542451998773
2.76,20.5,7.67,7.262499999999999,754.0,0.111,19.7,6.74,2.5,8.21,0.44,9.39,0.022,1.8815,76.0,0.458505096,2.27453,86.91,2.804,6.162,6.69,3.98,38.62666667,0.004333333,10.16733333,33.165,0.722778189,0.652891174,0.314467267,0.4550469887947113,9.705190192163268,3.92394319935512,28.50920265732,92.99466,6.377782119999999,337.19960988945,23.1259046790849,75.43478745,7.862415999999999,1.6745148551147582,103.37466704332888,3.1886256177230967,1099.917225,5.75890614613574,5.1734867209,1.5081545013691402,4.343805421853684,1.18617434733808,1.3360531446831438
7.13,33.5,8.04,7.27,367.0,0.04,14.0,4.22,1.0,2.97,0.73,3.91,0.102,0.142,25.38333,0.287890318,1.03397,60.79,3.334,12.403,3.988,4.48,49.02333333,0.0,10.65533333,31.55033333,0.17144143,0.530224067,0.822113927,0.2688059123755614,10.942705890021005,27.535017359032686,35.52488132222,105.18881132222,3.4472559800000004,336.17931830375886,11.0172950032201,32.6220981532201,11.115556,1.8259244234085923,113.53612837340887,3.2642508068468024,995.423533234109,5.616968339771909,1.0690939609,1.0168431540803133,3.2727323713165157,0.7099895482550599,1.4664909031141673
5.36,28.5,8.27,7.82,396.0,0.032,13.1,3.79,3.5,2.48,0.27,3.08,0.102,0.137,16.3,0.264079396,0.99305,68.63,2.59,11.487,0.82,3.633333333,43.73333333,0.0,9.351333333,31.769,0.167954612,0.567832687,0.88133226,0.22547225337579407,12.036693935041733,22.481587725637038,24.21995333247,82.28170999999999,2.5719995,297.082508656077,9.286341566335649,31.548205449999998,6.708099999999999,1.6093476939431082,87.44743510487687,3.0579949857709052,1009.2693609999999,5.636399560002821,0.9861483025,0.9965189411145179,2.8507065015037334,0.6896661287232895,1.2781522025001875
4.18,17.5,8.29,7.76,807.0,0.031,20.4,3.58,2.5,0.81,0.07,1.37,0.022,0.039,14.61667,0.220009474,0.45736,37.14,1.889,20.556,1.184,2.27,44.76666667,0.0,8.682333333,35.51266667,0.0864467545,0.305164194,0.622195773,0.09189530590118185,19.523698585900277,35.12730442809159,16.400927666037003,67.08342733963,0.86395304,308.33280957265913,3.9709519731808802,16.2420732281912,3.568321,1.3744089638822936,75.3829121053229,2.9465799383352898,1261.149494014529,5.959250512438624,0.2091781696,0.6762839640269463,2.7483389334634705,0.3766265797404364,1.0609104214840983
3.02,14.875,7.635,7.262499999999999,642.0,0.071,14.3,5.57,3.0,6.9,0.12,7.02,0.022,0.24,49.88333,0.386530725,1.46706,81.41,2.581,6.001,6.173,3.933333333,40.86666667,0.0,10.07766667,33.45633333,0.156922225,0.579861774,0.281381529,0.43009491249876475,10.389827868720866,29.24987812550781,26.010457675269997,86.35079632473,3.78648186,337.1617753001511,14.784541664890199,49.0824483751098,6.661561,1.6065490966665164,101.55936551162887,3.174534087074826,1119.3262398880688,5.7841449955892354,2.1522650436,1.2112225229081566,3.92953536500344,0.9030271582891656,1.2756420910162956
4.5,21.0,7.8,8.0,666.0,0.1105,61.29787234,5.921,7.5,0.103689894,0.0102183,2.729551451,0.022,0.466137319,5.2899975,0.116796394,0.094515,6.465,0.62625,16.792,13.573,3.6966666664999996,45.905833335,0.397,10.37833333,31.125083330000002,0.206923414,0.16441517125,0.331629873,0.05902970731305575,11.965056556265075,5.8556684566410855,5.8095407496675,16.0532739979125,0.16920413893728,309.7863309770189,0.6596841778641126,3.5708791575,0.40940325,0.7863069189431399,107.7098027085889,3.2215420732934716,969.3133249869439,5.578589839937269,0.008965065900000001,0.3072902036338896,1.8363816115303957,0.0902979413277338,0.4827924465342228
2.9,22.0,7.635,7.64,699.0,0.1365,35.44680851,6.989666667,2.5,2.162999185,0.23780771,3.666226913,0.022,1.8815,12.68333333,0.245996925,0.424892222,61.67,0.702,4.4485827035,1.587,2.73,34.6875,0.0,9.068,31.125083330000002,0.722778189,0.312799227,0.173899457,0.17311956273253692,7.935284027368488,3.3237055022471393,6.365735999999999,17.43440399766,0.298274339844,225.20680263644,3.852922669096,10.55233996269436,0.49280399999999996,0.8378544026261364,82.228624,3.0113120064184646,969.3133249869439,5.578589839937269,0.18053340031609727,0.6518375733263617,2.6161785469867223,0.354096177176032,0.5318040301511824
7.7,39.0,8.09,8.53,376.0,0.073,21.72340426,3.183333333,1.0,2.162999185,1.166744078,3.389182058,0.138,0.195235871,6.12,0.095637814,0.19,27.74,2.123,7.364,4.241,3.76,40.93,0.0,8.918,33.04033333,0.186578003,0.318592904,0.477518951,0.2882943660654039,10.885635402756542,17.359334026614263,18.932914,70.14462765959001,0.40337000000000006,294.65369263694,1.6944199999999998,6.2776633327,4.507129000000001,1.4570518178843195,79.53072399999999,2.9863020610782156,1091.6636265575091,5.748072140291908,0.0361,0.43588989435406733,1.9629077254238845,0.173953307123438,1.1387940783009416
8.9,71.0,9.42,9.92,465.0,0.064,29.06382979,2.259,3.5,0.960880196,0.655829076,1.85883905,0.022,1.101821579,26.2,0.331878767,0.459200124,34.0,1.18,16.67,1.467,3.39,49.48625,0.0,9.154,37.587,0.249173306,0.469424292,0.1388289545,0.07078583858513264,15.811204775455817,3.3237055022471393,10.80172,44.35266,0.54185614632,344.07139800000004,4.2035179350959995,17.259955060788002,1.3923999999999999,1.0862780491200215,83.795716,3.025557799811466,1412.7825690000002,6.130823761942599,0.21086475388161535,0.6776430653374975,3.3032169733019514,0.3778884253159964,0.7793248768009976
4.3,16.0,8.7,10.69,591.0,0.053,19.38297872,4.024,2.5,5.58190709,0.007663725,6.5323219,0.012,0.162540869,6.74,0.09845693,0.206,19.07,2.569,9.341,1.424,4.325,47.845,0.0,10.61766667,33.95033333,0.11891406,0.202065388,0.168323065,0.2750240579141358,11.062425187878569,40.188549203897736,27.27678567523,87.21840632477,0.529214,360.4733226333311,2.18723933402,6.993768665979999,6.599761,1.6028100324118264,112.7348455152289,3.258476126964873,1152.6251332181089,5.826691456564351,0.042435999999999995,0.4538722287164087,2.046401687601636,0.1873090983049937,1.2722854445080234
2.8,14.875,7.94,8.71,639.0,0.117,19.4893617,5.612333333,3.0,8.460678484,0.024152346,9.53722295525,0.022,0.258290518,31.1,0.319033574,0.97,44.63,3.474,7.315,6.97,5.67,47.28666667,0.0,11.09033333,34.62233333,0.237652026,0.590825079,0.205021726,0.4749144942017096,8.339798647301826,38.63422189883912,38.527817988420004,120.27798598842,3.36978,383.97321729206885,10.7576233301,33.583663330099995,12.068676000000002,1.863866948041088,122.99549337050888,3.3302152077606038,1198.7059652136286,5.884074551703097,0.9409,0.9848857801796105,3.4688560301359703,0.6780335427498971,1.498282863067938
