feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,lipid(%),sample_group
11.1,58.0,9.93,20.81,488.0,0.104,28.9,6.55,9.0,0.82,0.088,1.6,0.195,0.216,27.3,0.305353949,0.37763,22.14,16.62071415,25.22566047,2.61,44.635,0.636,7.8,37.5305,0.715917811,0.230525512,0.319669682,0.341508551,0.0
24.3,62.0,8.22,7.39,396.0,0.074,7.56,4.24,2.0,0.2,0.29,0.72,0.018,0.025,9.1,0.091833195,0.16533,26.39,12.93316528,6.896085553,1.325,32.415,0.4065,9.655,40.17,0.42,0.265298955,0.812205177,13.54468891,0.0
17.8,45.0,8.85,12.09,170.0,0.083,9.89,4.16,1.5,1.12,0.056,1.64,0.006,0.01,16.35,0.233617164,1.03161,32.14,18.70262699,13.04592685,3.23,46.015,0.636,7.8305,38.957,0.264165454,0.915768028,0.39460397,2.427192887,0.0
29.8,91.0,8.91,12.71,433.0,0.078,23.1,5.27,9.5,0.34,0.067,0.83,0.0034,0.011,7.125,0.151840229,0.28175,8.59,14.60416652,10.84689534,2.14,41.64,0.537,6.7635,36.0065,0.237880334,0.987557687,0.21363108,3.569049226,0.0
8.35,54.5,9.6,11.34,151.0,0.116,27.9,7.15,17.0,3.33,0.11,3.72,0.013,0.02,12.5,0.178623692,0.51496,24.1,19.11999683,9.299525647,4.245,47.73,0.8445,7.563,41.7935,0.442024847,0.694726565,0.457324437,4.208456553,0.0
19.9,52.5,9.07,8.02,207.0,0.059,39.4,10.61,9.5,0.22,0.24,0.97,0.006,0.01,6.465,0.14126473,0.13926,6.24,17.15088638,13.32659314,2.48,46.02,0.618,4.976,37.863,0.481760374,0.269515797,0.352419737,11.50799233,0.0
5.1,41.5,8.31,7.48,508.0,0.074,19.6,4.72,12.0,0.68,0.056,1.43,0.003,0.013,11.645,0.203863542,0.57801,24.55,16.97741161,11.01324306,2.81,48.005,0.612,7.26,39.7225,0.322269616,0.655195173,0.5660709,13.12245895,0.0
27.4,77.5,8.17,7.56,427.0,0.08,27.8,5.31,15.5,0.9,0.76,2.38,0.008,0.024,13.75,0.238207472,0.73798,36.68,17.23625689,5.652056277,2.83,38.67,0.583,9.503,40.422,0.144016372,0.454081565,0.792574894,14.88848108,0.0
13.07,62.0,9.25,17.12,567.0,0.138,61.7,7.09,13.5,2.78,0.54,3.87,0.077,0.091,21.27778,0.262768986,0.73073,67.37,3.919407108,6.923528606,4.295,48.81,0.6905,8.0,33.384,0.166905207,0.6020498,0.388626887,0.232392516,0.0
20.7,43.5,8.13,9.15,329.0,0.08,17.9,3.28,1.0,4.27,0.08,4.56,0.026,0.038,15.28889,0.212188375,0.3374,50.16,4.878658994,6.071619504,4.315,49.465,0.5405,6.8205,33.013,0.156237169,0.574774075,0.805160899,1.33174205,0.0
12.57,47.0,8.2,8.42,481.0,0.081,21.9,3.82,5.0,3.93,1.13,5.27,0.011,0.026,7.84667,0.102111845,0.23913,49.91,4.08008658,6.304511278,3.875,47.775,0.4485,7.6125,32.555,0.112100083,0.563068342,0.878200381,0.22163165,0.0
3.88,32.0,8.5,9.09,541.0,0.119,28.0,3.64,1.5,1.96,0.07,2.14,0.025,0.029,7.14889,0.120179557,0.20717,43.68,5.155116337,4.579776938,4.455,49.55,0.4775,8.1735,32.0205,0.164825898,0.602928473,0.857684036,1.822245062,0.0
15.23,48.0,9.17,10.17,185.1,0.098,40.6,6.12,2.5,0.11,0.04,0.17,0.012,0.028,5.54333,0.071312383,0.08472,6.54,2.495107632,17.71449171,2.365,45.855,0.44,7.807,35.948,0.219909388,0.36237378,0.221249912,0.766911726,0.0
6.52,37.0,8.57,9.93,737.0,0.136,45.6,7.38,1.0,4.6,0.78,6.6,0.573,0.683,2.06667,0.025566674,0.12621,8.78,4.527,10.751,6.07,42.51,0.737,4.762,32.582,0.449810522,0.07345,0.14341,1.898,0.0
12.12,28.0,8.18,10.37,493.5,0.049,17.5,2.26,1.5,4.93,0.41,6.16,0.034,0.068,11.145,0.227525596,0.60823,59.3,3.493113692,5.273206646,2.945,37.66,0.379,6.552,33.7975,0.183017323,0.454545493,0.741368275,0.165096233,0.0
46.65,75.0,8.09,10.48,522.0,0.069,24.7,4.01,5.5,3.5,1.48,5.66,0.022,0.258,7.46,0.17017766,0.47093,58.78,2.908316365,4.038279307,3.065,36.975,0.3875,3.3025,32.3025,0.1268314,0.474064194,0.905496299,0.816154811,0.0
4.62,22.0,8.51,11.2,798.0,0.062,14.8,2.91,1.0,3.61,0.09,4.3,0.019,0.054,6.31667,0.138246205,0.45811,57.05,2.475298477,5.17224708,2.795,35.445,0.4515,3.2135,32.244,0.087195914,0.46041755,0.86871756,0.88145216,0.0
14.75,41.0,9.24,12.16,182.5,0.058,52.6,8.79,1.5,0.07,0.0,1.21,0.013,0.073,6.12167,0.115187756,0.09778,13.3,2.429836669,14.6840834,2.435,46.82,0.409,7.8855,38.3105,0.144542091,0.194736895,0.259841565,1.533676534,0.0
3.34,39.5,9.03,16.05,753.0,0.122,32.1,4.1,0.5,7.08,0.1,8.89,0.637,0.837,78.21111,0.458283066,2.481,65.62,5.349,12.321,6.43,45.35666667,0.411333333,12.844,34.27866667,0.4333561,0.557928155,0.249728821,13.674,0.0
2.76,31.0,8.52,14.93,735.5,0.111,33.1,5.52,1.5,12.42,0.17,14.15,1.315,1.711,84.18889,0.451843896,2.514,103.41,4.685,8.779,4.523333333,38.94,0.184333333,11.23633333,34.542,0.456035898,0.952207045,0.249716319,9.347,0.0
7.68,24.5,8.42,12.64,568.5,0.031,19.2,1.69,0.5,6.11,0.48,7.34,0.022,0.081,9.85556,0.133646916,0.601,47.85,3.719,18.571,4.003333333,47.61333333,0.017,10.46066667,33.55533333,0.113169498,0.714729327,0.550322663,5.321,0.0
6.26,25.5,8.15,12.39,550.5,0.033,12.7,2.56,0.5,4.72,1.96,7.43,0.022,0.068,9.37444,0.161922187,0.862,51.49,4.923,16.976,4.25,49.02666667,0.0,10.77433333,33.57533333,0.074192091,0.61504735,0.444006108,10.111,0.0
2.6,17.5,8.7,13.91,897.0,0.031,27.9,1.83,0.5,4.89,0.09,5.83,0.03,0.069,9.48,0.138385997,0.681,48.19,3.583,16.024,4.16,49.09,0.0,10.99866667,33.06333333,0.089034589,0.729421541,0.565546731,8.725,0.0
9.56,39.0,9.17,12.92,194.2,0.054,70.4,11.31,6.5,0.28,0.12,1.29,0.012,0.045,9.57556,0.131905277,0.18,17.84,0.237,27.099,3.6192156862352944,43.8329411767647,0.3078823529117647,8.316666667,40.92366667,0.131931036,0.6,0.198085322,12.859,0.0
8.33,51.0,9.45,7.78,540.5,0.099,39.7,8.27,7.5,1.54,1.56,4.38,0.12344285714285715,1.132,49.76667,0.459171186,0.81181,40.85,1.667,16.258,3.23,45.95666667,0.017,9.534333333,35.17566667,0.437584686,0.256134856,0.125085818,1.215,0.0
2.76,20.5,7.67,7.21,754.0,0.111,19.7,6.74,2.5,8.21,0.44,9.39,0.12344285714285715,2.393,76.0,0.501774507,2.27453,111.7,2.804,6.162,3.98,38.62666667,0.004333333,10.16733333,33.165,0.743359323,0.652891174,0.314467267,6.69,0.0
7.13,33.5,8.04,7.27,367.0,0.04,14.0,4.22,1.0,2.97,0.73,3.91,0.102,0.142,25.38333,0.287890318,1.03397,60.79,3.334,12.403,4.48,49.02333333,0.0,10.65533333,31.55033333,0.17144143,0.530224067,0.822113927,3.988,0.0
5.36,28.5,8.27,7.82,396.0,0.032,13.1,3.79,3.5,2.48,0.27,3.08,0.102,0.137,16.3,0.264079396,0.99305,68.63,2.59,11.487,3.633333333,43.73333333,0.0,9.351333333,31.769,0.167954612,0.567832687,0.890727897,0.82,0.0
4.18,17.5,8.29,7.76,834.0,0.017,20.4,3.58,2.5,0.81,0.07,1.37,0.12344285714285715,0.039,14.61667,0.220009474,0.45736,37.14,1.889,20.556,2.27,44.76666667,0.0,8.682333333,35.51266667,0.084199276,0.305164194,0.622195773,1.184,0.0
3.02,11.5,7.53,7.24,642.0,0.071,14.3,5.57,3.0,6.9,0.12,7.02,0.12344285714285715,0.24,49.88333,0.386530725,1.46706,81.41,2.581,6.001,3.933333333,40.86666667,0.0,10.07766667,33.45633333,0.156922225,0.579861774,0.281381529,6.173,0.0
4.5,21.0,7.8,8.0,666.0,0.1105,61.29787234,5.921,7.5,0.084759576,0.0102183,2.729551451,0.12344285714285715,0.466137319,4.53,0.116796394,0.063065,4.81,0.399,16.792,3.6192156862352944,43.8329411767647,0.3078823529117647,10.37833333,29.84933333,0.206923414,0.0,0.331629873,13.573,0.0
2.9,22.0,7.44,7.64,699.0,0.1415,35.44680851,6.989666667,2.5,2.162999185,0.23780771,3.666226913,0.12344285714285715,6.503035965,12.68333333,0.245996925,0.424892222,61.67,0.702,4.055,2.73,21.66333333,0.0,9.068,24.83533333,1.098674342,0.312799227,0.173899457,1.587,0.0
7.7,39.0,8.09,8.53,376.0,0.073,21.72340426,3.183333333,1.0,2.162999185,1.166744078,3.389182058,0.138,0.195235871,6.12,0.095637814,0.19,27.74,2.123,7.364,3.76,40.93,0.0,8.918,33.04033333,0.186578003,0.318592904,0.477518951,4.241,0.0
8.9,71.0,9.42,9.92,465.0,0.064,29.06382979,2.259,3.5,0.960880196,0.655829076,1.85883905,0.12344285714285715,1.101821579,26.2,0.331878767,0.459200124,34.0,1.18,16.67,3.39,53.6,0.0,9.154,37.587,0.249173306,0.469424292,0.061939459,1.467,0.0
4.3,16.0,8.7,10.69,591.0,0.053,19.38297872,4.024,2.5,5.58190709,0.0,6.5323219,0.012,0.162540869,6.74,0.09845693,0.206,19.07,2.569,9.341,4.325,47.845,0.0,10.61766667,33.95033333,0.11891406,0.202065388,0.168323065,1.424,0.0
2.8,9.0,7.94,8.71,639.0,0.117,19.4893617,5.612333333,3.0,9.212713936,0.024152346,9.978891821,0.12344285714285715,0.258290518,31.1,0.319033574,0.97,44.63,3.474,7.315,5.67,47.28666667,0.0,11.09033333,34.62233333,0.237652026,0.590825079,0.205021726,6.97,0.0
5.8928658238386875,31.7738818653224,8.494958303707193,9.348426853730748,762.9965876442938,0.10410727907555721,38.84624733364741,6.361576978883339,1.4020090872828923,3.584257039465225,0.5897156986860976,5.198328315673649,0.45251596221233004,0.5104040985265449,5.430146030266867,0.07767852237115333,0.2149602061691532,16.380651810228553,3.8200000184984866,13.378799400539172,5.05157697888334,43.11480033887228,0.5394795351150056,5.812673083362686,33.367436422091394,0.3518244931301193,0.13555080776028738,0.2717274877385094,1.6876678427511909,1.0
3.4143470235752953,38.48353678705651,8.999796521672536,15.768294480984233,755.613762547569,0.11851498326990803,31.09515350949015,4.030880501519842,0.5290418060840998,6.878449865776348,0.099419163878318,8.623396220147965,0.6011043276800527,0.7915205316722997,74.03522122999011,0.43969416908614806,2.363503241781071,65.12222344371854,5.182085035250904,11.905774607908436,6.218866069768595,44.78096126719925,0.41366635810811725,12.284625773014154,34.16048588024816,0.4132498660083042,0.5522643868368935,0.28568192285255883,12.972199734891309,1.0
12.679786910947254,40.202230023486415,9.212078050822024,12.463152591075161,187.16695436260446,0.05640446004697284,59.70015279097089,9.795190170407114,3.494424941283956,0.15376584753392616,0.04786619859081494,1.2419107990605434,0.012601115011743208,0.06183122032880985,7.4993748720902484,0.12185612416776766,0.13057632373447337,15.110937846685832,1.555147040036874,19.636207262200042,2.907365860097473,45.62850707637144,0.3686656885286549,8.057485910903015,39.352852956475985,0.13951173047441925,0.35639026387883577,0.23520792673616145,6.016028081586385,1.0
7.247976014997456,24.80424224295954,8.337854594400925,12.563939439260116,563.0236396267284,0.031608484485919075,17.222425420763003,1.9546907513747978,0.5,5.687103282286243,0.9302785195801158,7.367381801866358,0.022,0.07704485084152601,9.709182972067307,0.14224944786932878,0.6804072254124394,48.95744176437272,4.085307660523283,18.085733622479538,4.078379753031433,48.0433290354111,0.011827881869687858,10.556097318180026,33.56141817485919,0.10131092426957321,0.684401858734879,0.517976675843069,6.742722651896859,1.0
6.873361926471804,25.068054981357886,8.266625155033372,12.49798625466053,558.2750103355581,0.03213610996271577,15.507642621173751,2.1842078337813593,0.5,5.3204035759125405,1.3207213724096687,7.39112494832221,0.022,0.0736152852423475,9.582257387369095,0.14970882454079412,0.7492623501344078,49.9177201321427,4.402938197554892,17.664952304734175,4.1434535619242965,48.41618437410617,0.0073430653169159685,10.638846578698889,33.56669442962716,0.09102818779323633,0.658104483413548,0.48992901433144054,8.10764173826366,1.0
13.997965501070663,43.7783444712707,8.247196500789148,7.623889906786674,396.0,0.05115493933711551,10.573372287437621,3.995231492897666,2.815895023674446,1.440160435985158,0.27912139968434074,2.003674837247795,0.06369012132576898,0.08592016176769199,13.016296113637342,0.1855230738284856,0.615551752663875,49.3656038666724,7.307207226003794,9.393221720614948,2.5805717862510322,38.571381226823746,0.1853924485842251,9.489826585025929,35.60044393740732,0.2829049481271367,0.429856132621639,0.8549160413289212,6.522417049724513,1.0
12.058701149531409,50.77167609306366,9.305658638926078,11.634341361073922,158.45664781387268,0.10304898011274748,20.831882782744906,5.976559107185301,10.916945204472295,2.462674122702179,0.08880742200267767,2.903693291954992,0.010252813963310068,0.016075448519014386,14.010952320179463,0.2002061631982141,0.7177219522651218,27.255339390712436,18.95619788763093,10.769820085959994,3.84665802467996,47.056939421010966,0.7626731016214499,7.667981752116365,40.68030097241843,0.3722230125794647,0.7814754250975877,0.432709466834704,3.4883252058230467,1.0
28.05794935354002,81.81464204593829,8.691451827989566,11.024961920151439,421.28075019654193,0.07673305407530183,18.17791508254762,4.943761424390222,7.124476391190937,0.29565689263556416,0.1376322353019228,0.7951589870708003,0.00802435262514831,0.015434310736443585,7.75055455031972,0.13283381220511892,0.24487553886165986,14.227909364906845,14.074899467204105,9.595529750275679,1.8818597678427484,38.71810596116485,0.4956658892067223,7.679343535316187,37.32523233937021,0.2955642761615228,0.7587919977287336,0.40322133320600884,6.792448603510445,1.0
24.192753910106216,76.37312975219947,8.386705816884716,7.969140582278341,433.58785683329535,0.07722616554387565,28.019103413636152,4.7810644421477875,13.419624157906735,0.9105544740850252,0.7419404438551556,2.2896491124814684,0.028013710928518662,0.2108561645865348,15.908389936171762,0.2544467636012993,0.6896494233923203,36.215382728599174,14.452669477633371,7.562178272906028,2.9270842059643525,41.25833427687104,0.48192840700496886,9.442495735925787,39.930511207305464,0.16224686742684966,0.45674145155021934,0.6659085349707247,12.411790055727725,1.0
27.461642690298156,78.6704796397539,8.616642446601041,10.448170747706579,417.26923264382395,0.07629937650203501,16.49307771040606,4.832089449274018,6.311330941315665,0.2804781775712258,0.16180976001154757,0.7832328538059631,0.009607275767572171,0.016952182242877426,7.964682852120208,0.12632788598410416,0.2322533530917293,16.157774565944155,13.893730526531845,9.167185350059446,1.7934979622896356,37.71793705781827,0.4815171583788926,7.992838211091433,37.7766364834443,0.3153095798602834,0.6804851441876025,0.46811837365784215,7.778303059054257,1.0
29.627776891494428,90.0919145187888,8.888393828205665,12.54341328413643,431.8414081791443,0.07787474683017777,22.613391435240622,5.237747308770774,9.26515030658331,0.33561613905622184,0.07398286421758957,0.8265555378298886,0.003857174069851155,0.01143838609437782,7.186843752599728,0.14996121119496736,0.2781045064923239,9.147376605708942,14.551841969478279,10.723182477703386,2.11447966664872,41.35113487709747,0.5329136153345496,6.854042385135247,36.13687289313872,0.24358310036336664,0.9649413880963031,0.23237440575568288,3.874576963065122,1.0
8.653434744680675,39.330035103927926,8.092933645368248,8.575471503207847,372.5529666923083,0.07351338793944344,21.44299145504276,3.1904229759977136,1.0,2.3175290145455,1.0870410347276027,3.475051173815255,0.12978579296890497,0.18370401388295934,6.792456792011938,0.10418576433610958,0.20081048318199474,29.384308228903134,2.3251031561054925,7.269215348597381,3.800704329484444,41.55596658044997,0.039640883038454255,8.764166971002483,33.03832867257617,0.18435277182167778,0.33738152164341395,0.5015485830798507,4.075999260481808,1.0
4.358411996716929,21.08849250205192,7.7681426992613085,7.968142699261309,668.9202525677133,0.1132432675636095,59.01024702097942,6.0155689872223155,7.057537489740403,0.2686681988638129,0.030358256331420145,2.8124402062430174,0.12344285714285715,1.000357584818385,5.2515088664350085,0.1282296722546266,0.09508399618527533,9.841683666672143,0.4258132281217316,15.664871001364702,3.5405267652965184,41.871097108894624,0.28063707316497055,10.262378655106277,29.405631924711678,0.2858366848258411,0.027680386237136333,0.3176719138384699,12.38606879372335,1.0
19.017998172132437,50.53048135524719,9.099114623444173,8.729026712111011,202.80406897422228,0.05882873750915193,41.66066487919453,10.29830226665651,8.129900073215435,0.1943106263727894,0.19889700219646303,1.0111029978035369,0.007198837435936495,0.02078953692342845,6.406200449017132,0.13679872247897962,0.13215603187962202,7.449113185387379,14.629722738595868,13.559080303229596,2.472293187911837,46.15700999267846,0.5822061394127532,5.474288217122462,37.93963996465451,0.4240075308939104,0.2567089759805962,0.3365645686651189,9.644607031684389,1.0
2.76,23.449812351717497,7.908794333234273,9.378814414786579,748.8027115707835,0.111,23.464522429810902,6.397259898181396,2.2190654903126195,9.392734285783874,0.3641476823844072,10.727248266111932,0.45819237883592484,2.201402664393206,78.3005417970339,0.4877472752803237,2.341805387034837,109.37105291469162,3.332437812721963,6.897205611851875,4.132641083503166,38.714692815432265,0.054901544743728534,10.46765232085581,33.551846819839525,0.662640257475926,0.7369793314610362,0.2962764911718269,7.352370114604278,1.0
12.153547789655896,29.416462229915645,8.181491012873595,10.224626244824446,492.56811695400285,0.05138562059775267,17.828022832190992,2.376299004140442,1.760927252879198,4.855449356320229,0.463676463449435,6.093649927125004,0.03228533519536527,0.06486887296544963,10.8991073754317,0.2181759201366555,0.5807133574177966,58.599969455846946,3.536872898622974,5.350091070145529,3.014332098622187,38.414079760820876,0.38418126973574407,6.631060957622396,33.704870825227886,0.1777303971100072,0.4626359412469126,0.7515691965783586,0.1695385875929907,1.0
9.733468615779945,54.242038693394846,9.561036526260585,17.774022774724443,492.55510461406686,0.09716734307889971,26.781876354458912,6.133207927812883,9.683265692110027,0.788114267701532,0.08071183261749304,1.5612816107804317,0.15127099570495822,0.16976568816722146,23.734491863339173,0.2822389779395389,0.42326759312833584,22.688890105995057,16.701953862293596,21.98870806393325,2.6555510461406686,45.402535127470266,0.6305338744631198,7.677012175420195,38.02973946570173,0.6262623755318206,0.3272462486137653,0.37578884825117465,3.271370034064732,1.0
3.9760664543919026,28.34032554697513,8.545745930662811,9.455967445302488,552.4364826657027,0.10390384288127241,26.029031710025773,3.7278321868725968,1.7287296533140544,2.788437553031415,0.05398892426801621,3.144654265430728,0.022026514506917297,0.05954475666962754,7.055364732056416,0.11521094805721949,0.20690238630562255,38.050963231941125,4.563594843808178,5.66880983832214,4.425265145069173,49.16001594109954,0.36828159054253906,8.732553395070866,32.461910108524805,0.15432449921124897,0.5112391985415476,0.7000067400949301,1.7465229053918359,1.0
10.816244212384596,52.16997276446223,9.445859736725962,10.9205950976032,163.2236813433597,0.1095476168862031,32.452514752512265,6.7807802995993995,11.802246936108048,2.1757403540874423,0.08490739900190092,2.447446663667832,0.012641534271455727,0.022867725828354182,10.006272220207915,0.14015626543827545,0.3607337049511121,17.805341806762573,13.160543811671122,12.316002587448624,3.5710844303367675,47.05787675897949,0.6995006128038417,7.650465637764802,39.69808858379446,0.3624040671686195,0.575589481791257,0.3726998104051319,2.929916426600414,1.0
3.256870310494029,18.963324949120363,8.638215168814918,13.028753197307516,864.806851119352,0.04108068298282916,23.640098481449613,2.1811979877888867,0.6625916610133735,4.473765347805763,0.09,5.332469517299077,0.02642298345770578,0.0641222501695988,8.45133784193313,0.13834053897304724,0.6085198893534584,51.07112423315698,3.222793938936773,12.495190935660947,3.7161247654334906,44.65287357094504,0.1468202698950763,8.467060309717493,32.796899795903364,0.08843668255537247,0.6419459295681669,0.6641328283158229,6.242305759380012,1.0
6.0389369754496,24.4285210544751,8.21203299158302,12.198261662379755,555.0678839256587,0.035255745148473475,13.453754841249571,2.725120544868258,0.7255745148473469,4.817212136835119,1.7389369754496,7.328753349051706,0.020872127425763262,0.0786630053289608,9.077308737552777,0.1547641147212814,0.7880115591300701,47.83343711432451,4.657498796024672,16.11486928957025,4.258459044306775,48.893389727101734,0.0,10.756663327088873,33.617628551533876,0.07923615923009655,0.5684682471405722,0.41291257366181733,9.036450595661636,1.0
5.074508407627895,25.588224270746537,8.524352897082986,10.896197011743459,783.4078879656307,0.07970190640234959,22.16782050259956,3.9792908326824685,1.0,3.8468228018692714,0.25505831645434074,4.850194388181135,0.1515250830662388,0.20446620441997154,5.300006456621814,0.11129157646996421,0.37871455763594825,45.503094296737636,2.9660961570770823,6.5067681885361415,3.578428965779661,37.13505363152162,0.5197958686198758,3.583924352216734,32.32485465356749,0.17393874982352275,0.3678491263399117,0.6952131472968033,1.1237730938002422,1.0
4.193998954715483,21.65645076993184,8.31761243116183,10.286159048018698,787.9225559180006,0.0732226081822265,15.922260818222652,3.787195700774032,1.3435492300681586,4.66355097220902,0.17016148701590367,5.465777054031284,0.0429208421050315,0.5897077660862817,22.276439580056945,0.22150611717339003,0.8741297949869364,69.56664361548324,2.5505819137659205,5.398932982415808,3.066403891753845,36.173706089874685,0.34908415722667024,4.8061560576958655,32.454939227261846,0.23747886997389878,0.5045003268890855,0.7417760523831991,2.286388709205477,1.0
11.94155773025645,28.343158211045285,8.183304486476732,10.296538723709563,493.86857733778936,0.04963547816860238,17.5533801661626,2.322531051790474,1.7669008308129994,4.821968711337595,0.4010016291325903,6.03976753050043,0.03321200707093305,0.06660194802907476,11.157709563372046,0.22692412725034838,0.6074618339897935,58.41668534564269,3.835872769832781,5.4191133591231875,2.941568417889547,37.922960866167664,0.3849226565313742,6.569996741734819,33.94810832595876,0.1865569946851729,0.45964583264708214,0.7369123688069679,0.4899101038744987,1.0
15.051796517156218,47.71713732881939,9.17,10.256430260638519,185.3860055897493,0.09661711582978369,41.53658973346468,6.283117473714151,2.625716742746937,0.11534296156674483,0.04251433485493874,0.20520068796914237,0.012,0.028534296156674483,5.670059705401621,0.0732167683168226,0.08771457281223204,6.895149798260097,2.42413714793324,18.009439163625107,2.4044189776939042,45.79144833777504,0.43584764993716946,7.823018408315482,36.104381151686724,0.21714430003857915,0.36984217859241675,0.22052186779953292,1.130683767162161,1.0
2.886066854559412,20.188691092723616,7.509665727202938,7.789084656214287,690.6401127356474,0.13808637936705603,33.2234342373583,6.797760810372086,2.569665727202938,3.1452461944033856,0.20803879739226322,4.545779695808573,0.12344285714285715,5.632946499475019,15.249354282439317,0.25617322753010147,0.5008428815166952,59.29579201692388,1.0882267916130874,4.509220541363154,3.1396344759532746,25.233469630988765,0.0,9.349774644162377,26.198970274270305,0.9787068504358045,0.3515369733215927,0.1782357680041809,2.361384469371044,1.0
10.4467755081855,28.812244898939078,8.244979591915126,10.110081632339494,503.14540817490155,0.06321428573143385,19.632142859715078,2.5402244901339817,1.5,4.326908162537735,0.3409591835901784,5.343693876566228,0.03217244897738708,0.060080612235344,10.33354500922514,0.2057277778502337,0.5267902652078734,56.1281836696429,3.830601984606126,5.132397960226046,3.251622449349502,40.074397962096405,0.3990015306363748,6.881263775907429,33.43666020364631,0.1793233499598293,0.4846763226485948,0.7649874958846168,0.5022798435050284,1.0
4.774037365441572,29.558301312869656,8.368523916846828,10.329631641158482,544.568636542729,0.08669444813950622,22.252616936447037,3.234302371984497,1.1243540481337932,2.9967828271507306,0.7799708490271309,4.127167085372234,0.02387306214440138,0.04365019212278207,7.984908848175836,0.13586000697974887,0.45315423866054816,46.61379488407508,5.067922774643938,9.236367949670814,4.377992579867428,49.35341195310883,0.2981290579838863,9.150492511893207,32.604566846241156,0.13077967529822693,0.6074808800862145,0.7022875969703999,4.9658968904684295,1.0
